OrigZoneNo,DestZoneNo,Time,Time_Minutes,FromStopPointNo,ToStopPointNo,PathIndex
213,905,4598.0,76.63333333333334,894,2236,7
214,905,8699.0,144.98333333333332,1299,2236,3
215,905,8333.0,138.88333333333333,1046,2236,2
216,905,7065.0,117.75,2092,2236,2
217,905,9660.0,161.0,2181,2236,7
218,905,1709.0,28.483333333333334,11,2236,11
219,905,5821.0,97.01666666666667,1390,2236,1
220,905,3865.0,64.41666666666667,1376,2236,4
221,905,5696.0,94.93333333333334,1432,2236,2
222,905,5297.0,88.28333333333333,1394,2236,1
223,905,5128.0,85.46666666666667,1066,2236,3
224,905,6140.0,102.33333333333333,754,2236,28
225,905,6324.0,105.4,1062,2236,2
226,905,4971.0,82.85,177,2236,1
227,905,3063.0,51.05,164,2236,3
228,905,3512.0,58.53333333333333,1359,2236,5
229,905,9579.0,159.65,220863,2236,4
230,905,7007.0,116.78333333333333,1742,2236,9
231,905,6612.0,110.2,60417,2236,12
232,905,5851.0,97.51666666666667,556,2236,24
233,905,5308.0,88.46666666666667,581,2236,35
234,905,5840.0,97.33333333333333,696,2236,12
235,905,11404.0,190.06666666666666,758,2236,7
236,905,14878.0,247.96666666666667,772,2236,7
237,905,2125.0,35.416666666666664,2050,2236,6
238,905,5933.0,98.88333333333334,559,2236,29
239,905,5111.0,85.18333333333334,581,2236,31
240,905,9003.0,150.05,2305,2236,1
241,905,4916.0,81.93333333333334,369,2236,6
242,905,4899.0,81.65,886,2236,7
243,905,9854.0,164.23333333333332,750,2236,7
244,905,15571.0,259.51666666666665,726,2236,5
245,905,1903.0,31.716666666666665,2050,2236,5
246,905,7526.0,125.43333333333334,2256,2236,4
247,905,4500.0,75.0,180,17,9
248,905,2244.0,37.4,2219,17,1
249,905,2176.0,36.266666666666666,37,2236,12
250,905,4711.0,78.51666666666667,1109,2236,6
251,905,9930.0,165.5,770,2236,7
252,905,13297.0,221.61666666666667,780,2236,7
253,905,8358.0,139.3,1250,2236,4
254,905,5646.0,94.1,1536,17,13
255,905,3055.0,50.916666666666664,1148,17,1
256,905,6084.0,101.4,366,2236,5
257,905,10358.0,172.63333333333333,750,2236,7
258,905,5627.0,93.78333333333333,612,2236,16
259,905,4814.0,80.23333333333333,580,2236,33
260,905,7128.0,118.8,662,2236,11
261,905,6091.0,101.51666666666667,697,2236,12
262,905,9408.0,156.8,2181,2236,7
263,905,2830.0,47.166666666666664,975,2236,3
264,905,9277.0,154.61666666666667,220863,2236,4
265,905,9181.0,153.01666666666668,1258,2236,4
266,905,5628.0,93.8,1390,2236,1
267,905,12926.0,215.43333333333334,1937,17,3
268,905,5964.0,99.4,113359,2236,1
269,905,7429.0,123.81666666666666,1785,2236,9
270,905,6075.0,101.25,1271,2236,4
271,905,5713.0,95.21666666666667,620,2236,16
272,905,4492.0,74.86666666666666,1652,2236,13
273,905,5041.0,84.01666666666667,1066,2236,3
274,905,1764.0,29.4,89,2236,11
275,905,9143.0,152.38333333333333,79384,2236,4
276,905,9337.0,155.61666666666667,1257,2236,4
277,905,5753.0,95.88333333333334,1421,2236,3
278,905,9235.0,153.91666666666666,787,2236,7
279,905,6287.0,104.78333333333333,1435,2236,2
280,905,3162.0,52.7,1149,17,1
281,905,6624.0,110.4,978,2236,3
282,905,5881.0,98.01666666666667,1348,17,10
283,905,6036.0,100.6,1479,2236,4
284,905,10181.0,169.68333333333334,758,2236,7
285,905,7382.0,123.03333333333333,1184,2236,8
286,905,6350.0,105.83333333333333,1185,2236,7
287,905,12564.0,209.4,1940,17,3
288,905,9444.0,157.4,2006,2236,4
289,905,2029.0,33.81666666666667,11,2236,16
290,905,6827.0,113.78333333333333,2145,2236,4
291,905,5097.0,84.95,1393,2236,1
292,905,7019.0,116.98333333333333,1485,2236,4
293,905,6156.0,102.6,693,2236,12
294,905,9804.0,163.4,1258,2236,4
295,905,3764.0,62.733333333333334,1148,17,1
296,905,7505.0,125.08333333333333,1107,2236,8
297,905,5594.0,93.23333333333333,683,2236,13
298,905,4764.0,79.4,179,17,7
299,905,9698.0,161.63333333333333,784,2236,7
300,905,1824.0,30.4,11,2236,11
301,905,6154.0,102.56666666666666,699,2236,16
302,905,6469.0,107.81666666666666,698,2236,16
303,905,2851.0,47.516666666666666,1593,17,1
304,905,5657.0,94.28333333333333,1097,2236,15
305,905,2573.0,42.88333333333333,2221,17,1
306,905,6951.0,115.85,1262,2236,4
307,905,4919.0,81.98333333333333,1474,2236,4
308,905,5133.0,85.55,581,2236,33
309,905,5159.0,85.98333333333333,1395,2236,2
310,905,5028.0,83.8,1105,2236,6
311,905,7381.0,123.01666666666667,1562,17,9
312,905,8244.0,137.4,1257,2236,4
313,905,7696.0,128.26666666666668,2179,2236,2
314,905,2267.0,37.78333333333333,13,2236,3
315,905,4298.0,71.63333333333334,585,2236,17
316,905,8629.0,143.81666666666666,1975,17,9
317,905,6905.0,115.08333333333333,686,2236,8
318,905,6199.0,103.31666666666666,1660,17,15
319,905,6470.0,107.83333333333333,75582,2236,4
320,905,6906.0,115.1,1973,17,9
321,905,4311.0,71.85,190,17,8
322,905,8169.0,136.15,1487,2236,4
323,905,2032.0,33.86666666666667,11,2236,11
324,905,5187.0,86.45,1707,2236,1
325,905,5767.0,96.11666666666666,1415,2236,4
326,905,4495.0,74.91666666666667,586,2236,6
327,905,8167.0,136.11666666666667,2004,2236,8
328,905,7699.0,128.31666666666666,1520,2236,11
329,905,12343.0,205.71666666666667,786,2236,7
330,905,9271.0,154.51666666666668,2185,2236,1
331,905,7554.0,125.9,1781,2236,12
332,905,6046.0,100.76666666666667,363,2236,21
333,905,10254.0,170.9,789,2236,7
334,905,2107.0,35.11666666666667,15,2236,12
335,905,2100.0,35.0,37,2236,12
336,905,7227.0,120.45,1520,2236,11
337,905,4584.0,76.4,2131,2236,5
338,905,6442.0,107.36666666666666,2297,2236,27
339,905,3605.0,60.083333333333336,475,2236,4
340,905,4198.0,69.96666666666667,232,2236,6
341,905,11708.0,195.13333333333333,1937,17,3
342,905,5464.0,91.06666666666666,1392,2236,1
343,905,11294.0,188.23333333333332,773,2236,7
344,905,4881.0,81.35,581,2236,33
345,905,11636.0,193.93333333333334,784,2236,7
346,905,5995.0,99.91666666666667,1660,17,14
347,905,1911.0,31.85,11,2236,11
348,905,5853.0,97.55,1346,17,10
349,905,4434.0,73.9,180,17,9
350,905,5413.0,90.21666666666667,1486,2236,4
351,905,2261.0,37.68333333333333,13,2236,3
