Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
45,35.0,704,True,1422.0,1425.0,8.7827784675,1.84074256,702.6222774,147.2594048,10.87,0.0,1.17,7.82,1.88,0.521,0.126,23.0,3.867,3.22,0.0
46,7.0,696,True,659.0,661.0,10.4385343175,3.09073340375,835.0827454,247.2586723,10.58,0.0,2.27,4.38,3.93,0.292,0.262,21.0,2.442,1.888,0.0
47,487.0,627,False,,,2.0166666666666666,0.0,,0.0,2.02,0.0,0.0,1.58,0.43,0.106,0.029,0.0,0.134,0.0,0.0
48,544.0,677,True,447.0,448.0,16.12284062875,2.5425381375000002,1289.8272503,203.403051,6.97,0.0,1.17,2.97,2.83,0.197,0.189,51.0,1.262,0.875,0.0
49,33744.0,566,True,186.0,1351.0,6.38596429625,1.17720747,510.8771437,94.1765976,5.67,0.0,1.88,3.17,0.62,0.211,0.042,93.0,1.086,0.834,0.0
50,900.0,511,True,1356.0,1992.0,4.8836529275,1.03955254375,390.6922342,83.1642035,9.52,0.0,5.17,3.6,0.75,0.241,0.05,110.0,2.764,2.474,0.0
51,66.0,708,True,1320.0,97126.0,2.85127564125,0.11628975374999999,228.1020513,9.3031803,6.82,0.0,3.98,2.48,0.35,0.165,0.023,10.0,2.977,2.788,0.0
52,608.0,626,False,,,454.55200718124996,0.0,36364.1605745,0.0,1.38,0.0,0.0,0.2,1.18,0.014,0.078,0.0,0.092,0.0,0.0
53,48.0,652,True,1083.0,1085.0,11.2896427,0.82598638875,903.171416,66.0789111,11.05,0.0,1.37,9.02,0.67,0.601,0.044,32.0,1.822,1.178,0.0
54,365.0,675,True,1536.0,1392.0,0.86095978875,6.75391609125,68.8767831,540.3132873,7.92,0.0,1.58,0.82,5.52,0.055,0.368,75.0,1.794,1.371,0.0
55,53.0,583,True,1538.0,1531.0,35.28215189,1.1259827274999998,2822.5721512,90.0786182,22.15,0.0,5.52,15.88,0.75,1.058,0.05,47.0,4.797,3.688,0.0
56,58.0,616,True,2232.0,1475.0,1.21346450125,2.15542008,97.0771601,172.4336064,16.48,0.0,13.22,1.55,1.72,0.103,0.114,15.0,8.358,8.141,0.0
57,512.0,576,True,149.0,151.0,1.08883795875,1.6741110225,87.1070367,133.9288818,3.78,0.0,1.73,0.9,1.15,0.06,0.077,17.0,1.206,1.07,0.0
58,6159.0,563,False,,,299.70978017875,0.0,23976.7824143,0.0,2.48,0.0,0.0,2.32,0.17,0.155,0.011,0.0,0.166,0.0,0.0
59,30.0,593,True,983.0,978.0,43.604284953749996,1.9945926925,3488.3427963,159.5674154,24.38,0.0,6.12,16.17,2.1,1.078,0.14,47.0,6.604,5.386,0.0
60,925.0,589,True,37.0,39.0,5.79821170375,4.869864615,463.8569363,389.5891692,8.05,0.0,1.43,4.43,2.18,0.296,0.146,161.0,1.277,0.835,0.0
61,1185.0,589,True,2150.0,39.0,1.05851567875,4.869864615,84.6812543,389.5891692,6.35,0.0,3.3,0.87,2.18,0.058,0.146,151.0,1.211,1.007,0.0
62,2381.0,574,True,466.0,495.0,2.00973798375,0.8581321412499999,160.7790387,68.6505713,4.98,0.0,2.2,2.2,0.58,0.146,0.039,47.0,2.474,2.289,0.0
63,3761.0,574,False,,,193.77748565375,0.0,15502.1988523,0.0,9.17,0.0,0.0,8.58,0.58,0.573,0.039,0.0,0.611,0.0,0.0
64,30.0,701,True,1307.0,1311.0,56.05876034875,1.8012169,4484.7008279,144.097352,34.57,0.0,2.82,31.23,0.52,2.082,0.034,51.0,4.284,2.167,0.0
65,45.0,636,False,,,416.69926338625,0.0,33335.9410709,0.0,9.38,0.0,0.0,6.37,3.02,0.424,0.201,0.0,0.625,0.0,0.0
66,50.0,562,True,1405.0,262540.0,2.21716608,2.89121662125,177.3732864,231.2973297,7.28,0.0,3.45,1.83,2.0,0.122,0.134,33.0,1.892,1.637,0.0
67,43.0,624,True,2174.0,1523.0,30.140410107500003,1.42591767,2411.2328086,114.0734136,16.45,0.0,1.87,12.88,1.7,0.859,0.114,35.0,2.272,1.299,0.0
68,28.0,638,True,1490.0,1491.0,37.09289674875,0.9892192375000001,2967.4317399,79.137539,14.45,0.0,2.93,10.7,0.82,0.713,0.055,31.0,2.669,1.901,0.0
69,10312.0,564,True,61.0,69146.0,0.8653357937499999,0.781175985,69.2268635,62.4940788,1.95,0.0,0.28,0.82,0.85,0.055,0.057,18.0,0.271,0.16,0.0
70,53.0,652,False,,,521.55620836375,0.0,41724.4966691,0.0,2.3,0.0,0.0,1.63,0.67,0.109,0.044,0.0,0.153,0.0,0.0
71,155.0,656,True,1631.0,1633.0,9.444788749999999,,755.5831,,15.05,0.0,2.57,10.8,1.68,0.719,0.113,18.0,2.325,1.493,0.0
72,372.0,632,False,,,729.95356891625,0.0,58396.2855133,0.0,3.78,0.0,0.0,3.03,0.75,0.202,0.05,0.0,0.252,0.0,0.0
73,787.0,640,True,1101.0,1102.0,1.0279030275,2.386834285,82.2322422,190.9467428,3.93,0.0,0.85,1.33,1.75,0.089,0.117,32.0,0.826,0.62,0.0
74,33.0,623,True,1537.0,1544.0,7.4701675750000005,0.7662784525,597.613406,61.3022762,13.8,0.0,7.8,5.62,0.38,0.374,0.026,32.0,6.489,6.089,0.0
75,22.0,665,True,1413.0,1417.0,29.231624,1.6451094412500002,2338.52992,131.6087553,19.67,0.0,2.97,15.67,1.03,1.044,0.068,33.0,4.468,3.355,0.0
76,32.0,652,True,1083.0,1085.0,37.55374639875,0.82598638875,3004.2997119,66.0789111,34.55,0.0,1.37,32.52,0.67,2.168,0.044,32.0,3.389,1.178,0.0
77,7575.0,565,False,,,341.10810505250004,0.0,27288.6484042,0.0,11.28,0.0,0.0,8.33,2.95,0.556,0.197,0.0,0.752,0.0,0.0
78,6.0,664,True,1040.0,1041.0,18.937614207499998,1.14658604625,1515.0091366,91.7268837,21.55,0.0,1.97,19.15,0.43,1.277,0.029,9.0,2.831,1.525,0.0
79,89.0,569,True,1219.0,1096.0,9.524628674999999,5.5041516,761.970294,440.332128,13.98,0.0,0.92,8.42,4.65,0.561,0.309,39.0,1.554,0.683,0.0
80,56.0,642,True,1975.0,1973.0,45.26120641875,2.5938804625,3620.8965135,207.510437,17.93,0.0,2.27,13.6,2.07,0.907,0.137,15.0,2.659,1.615,0.0
81,59.0,583,True,1541.0,1531.0,11.368646674999999,1.1259827274999998,909.491734,90.0786182,4.27,0.0,1.48,2.03,0.75,0.136,0.05,47.0,1.193,1.007,0.0
82,2494.0,637,True,2077.0,2265.0,4.91335080375,0.23042009375,393.0680643,18.4336075,8.87,0.0,4.65,3.88,0.33,0.258,0.022,30.0,1.96,1.679,0.0
83,24.0,662,True,1025.0,1029.0,16.1758427775,1.02471803,1294.0674222,81.9774424,21.77,0.0,3.68,16.5,1.58,1.1,0.106,9.0,4.903,3.698,0.0
84,3737.0,574,True,435.0,495.0,0.9835825687499999,0.8581321412499999,78.6866055,68.6505713,5.58,0.0,3.9,1.1,0.58,0.074,0.039,67.0,3.194,3.081,0.0
85,37.0,653,True,1157.0,1158.0,25.35636248875,4.8667694599999995,2028.5089991,389.3415568,15.53,0.0,2.03,9.18,4.32,0.612,0.288,7.0,2.438,1.538,0.0
86,38.0,643,True,1862.0,1048.0,0.7940414474999999,0.07314246375,63.5233158,5.8513971,5.22,0.0,4.53,0.58,0.1,0.038,0.006,8.0,2.476,2.431,0.0
87,35.0,515,True,25.0,26.0,7.18145477,0.28810997125000004,574.5163816,23.0487977,7.45,0.0,2.02,5.02,0.42,0.334,0.027,42.0,1.116,0.755,0.0
88,71.0,511,True,972.0,1992.0,8.872220635,1.03955254375,709.7776508,83.1642035,12.5,0.0,3.67,8.08,0.75,0.539,0.05,84.0,2.036,1.447,0.0
89,45.0,692,True,1580.0,1569.0,1.51604762,,121.2838096,,8.95,0.0,4.55,1.93,2.47,0.129,0.164,27.0,3.122,2.828,0.0
90,4544.0,637,True,2154.0,2265.0,4.09318791875,0.23042009375,327.4550335,18.4336075,4.42,0.0,0.38,3.7,0.33,0.246,0.022,17.0,0.466,0.198,0.0
91,16507.0,569,False,,,438.63531367875004,0.0,35090.8250943,0.0,8.2,0.0,0.0,3.55,4.65,0.237,0.309,0.0,0.546,0.0,0.0
92,36.0,665,True,1413.0,1417.0,35.8706173075,1.6451094412500002,2869.6493846,131.6087553,25.0,0.0,2.97,21.0,1.03,1.4,0.068,33.0,4.824,3.355,0.0
93,26.0,641,False,,,339.69468792624997,0.0,27175.5750341,0.0,51.52,0.0,0.0,48.18,3.33,3.213,0.222,0.0,3.435,0.0,0.0
94,2046.0,574,True,1696.0,512.0,3.5956256987499997,0.8308609887499999,287.6500559,66.4688791,13.43,0.0,9.8,2.68,0.95,0.179,0.064,17.0,6.194,5.951,0.0
95,100.0,646,True,1484.0,1485.0,32.13408319875,5.1352936225,2570.7266559,410.8234898,28.7,0.0,0.52,23.88,4.3,1.593,0.287,33.0,2.467,0.587,0.0
96,3804.0,639,False,,,642.11192491875,0.0,51368.9539935,0.0,10.57,0.0,0.0,3.45,7.12,0.23,0.474,0.0,0.704,0.0,0.0
97,36.0,631,True,649.0,722.0,16.01035844375,3.035140325,1280.8286755,242.811226,22.47,0.0,6.05,14.18,2.23,0.946,0.148,7.0,4.5,3.406,0.0
98,79.0,641,True,113250.0,750.0,27.93815787875,2.82428233625,2235.0526303,225.9425869,18.77,0.0,1.35,14.08,3.33,0.939,0.222,7.0,2.696,1.535,0.0
99,41.0,636,False,,,417.10150749499996,0.0,33368.1205996,0.0,5.58,0.0,0.0,2.57,3.02,0.171,0.201,0.0,0.372,0.0,0.0
