Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
37,Aranguren,1909,903,Public Transport,True,637.0,283.0,4.11514505625,38.31666666666667,,,329.2116045,,13.0,38.32,0,32.08,2.15,4.08,0.143,0.272,14,23.459,23.044,0.0
38,Arantxe,81,901,Public Transport,True,1392.0,1078.0,7.4956466187499995,12.433333333333334,0.9184603362500001,20.84744028833333,599.6517295,73.4768269,2.0,12.43,0,7.45,4.05,0.93,0.27,0.062,65,4.738,4.405,0.0
39,Arantzazugoiti,32,901,Public Transport,True,1529.0,1078.0,4.746733186249999,23.4,0.9184603362500001,29.065193522499996,379.7386549,73.4768269,31.0,23.4,0,18.45,4.02,0.93,0.267,0.062,31,12.278,11.949,0.0
40,Arbildu,20,901,Public Transport,True,1316.0,1078.0,9.069443665,61.18333333333333,0.9184603362500001,71.17123733458334,725.5554932,73.4768269,2.0,61.18,1,57.27,2.98,0.93,0.199,0.062,14,26.809,26.547,10.05
41,Arbuio,247,902,Public Transport,True,890.0,249.0,2.22072758625,18.883333333333333,,,177.6582069,,37.0,18.88,0,14.88,2.48,1.52,0.165,0.101,32,9.118,8.852,0.0
42,Areatza,1245,901,Public Transport,True,1523.0,1078.0,3.34813628,26.23333333333333,0.9184603362500001,30.49992994958333,267.8509024,73.4768269,31.0,26.23,0,23.63,1.67,0.93,0.111,0.062,31,17.053,16.879,0.0
43,Areeta/Las Arenas,25409,903,Public Transport,True,6.0,2064.0,7.27476440375,31.816666666666663,,,581.9811523,,25.0,31.82,0,21.77,7.55,2.5,0.503,0.166,21,11.434,10.765,0.0
44,Areiltza-Olatzar,76,901,Public Transport,True,1322.0,1078.0,1.56526593375,56.083333333333336,0.9184603362500001,58.567059603333334,125.2212747,73.4768269,2.0,56.08,1,53.37,1.78,0.93,0.119,0.062,11,24.543,24.363,10.05
45,Areitio,35,901,Public Transport,True,1422.0,1078.0,8.7827784675,41.8,0.9184603362500001,51.50123880375,702.6222774,73.4768269,8.0,41.8,1,33.05,7.82,0.93,0.521,0.062,20,32.087,31.503,0.4
46,Arenao,7,903,Public Transport,True,1744.0,284.0,9.96026555625,53.15,,,796.8212445,,4.0,59.0,0,52.08,4.38,2.53,0.292,0.169,21,25.028,24.568,0.0
47,Arene,487,901,Public Transport,True,1567.0,1005.0,1.6271509600000003,44.93333333333333,1.089115005,47.64959929833333,130.1720768,87.1292004,30.0,44.93,0,41.92,1.92,1.1,0.128,0.074,27,18.927,18.725,0.0
48,Aretxalde,544,903,Public Transport,True,463.0,278.0,15.09329468125,52.46666666666667,,,1207.4635745,,19.0,52.97,1,48.07,2.4,2.5,0.16,0.166,19,21.885,21.558,12.77
49,Arizgoiti,33744,901,Public Transport,True,196.0,1005.0,4.25314280625,18.7,1.089115005,24.04225781125,340.2514245,87.1292004,57.0,19.62,0,15.43,2.38,1.8,0.159,0.12,68,8.146,7.867,0.0
50,Arkotxa,900,901,Public Transport,True,1356.0,1005.0,4.8836529275,13.2,1.089115005,19.172767932499998,390.6922342,87.1292004,113.0,14.03,0,9.33,3.6,1.1,0.241,0.074,123,5.068,4.754,0.0
51,Arkulanda,66,901,Public Transport,True,1320.0,1078.0,2.85127564125,58.16666666666666,0.9184603362500001,61.936402644166655,228.1020513,73.4768269,2.0,58.17,1,54.75,2.48,0.93,0.165,0.062,11,25.373,25.145,10.05
52,Armintza,608,903,Public Transport,True,2109.0,2064.0,0.40829834624999994,92.11666666666666,,,32.6638677,,14.0,92.12,2,89.42,0.2,2.5,0.014,0.166,25,37.698,37.518,25.43
53,Armotxerria,48,901,Public Transport,True,1109.0,1078.0,12.053583858749999,49.35,0.9184603362500001,62.322044195,964.2867087,73.4768269,18.0,49.35,1,40.25,8.17,0.93,0.544,0.062,17,24.752,24.146,6.07
54,Arraibi,365,901,Public Transport,True,1536.0,1078.0,0.86095978875,11.083333333333334,0.9184603362500001,12.862753458333334,68.8767831,73.4768269,2.0,11.08,0,9.33,0.82,0.93,0.055,0.062,60,5.893,5.777,0.0
55,Arraño,53,901,Public Transport,True,331603.0,1078.0,35.40212754125,28.916666666666668,0.9184603362500001,65.23725454416667,2832.1702033,73.4768269,45.0,28.92,0,12.1,15.88,0.93,1.058,0.062,43,8.343,7.222,0.0
56,Arrazola,58,901,Public Transport,True,2232.0,1078.0,1.21346450125,59.1,0.9184603362500001,61.2319248375,97.0771601,73.4768269,4.0,59.1,1,56.62,1.55,0.93,0.103,0.062,14,32.64,32.475,16.25
57,Arriaga,512,903,Public Transport,True,92.0,2064.0,20.58174676875,34.266666666666666,,,1646.5397415,,9.0,34.27,1,24.27,7.5,2.5,0.5,0.166,11,11.924,11.258,4.43
58,Arrigorriaga,6159,901,Public Transport,True,203.0,1004.0,4.9353690225,32.63333333333333,2.95083712375,40.51953947958333,394.8295218,236.0669699,40.0,32.63,0,28.52,2.32,1.8,0.155,0.12,36,11.966,11.691,0.0
59,Arta,30,901,Public Transport,True,999.0,1078.0,43.771411756250004,55.18333333333333,0.9184603362500001,99.87320542583333,3501.7129405,73.4768269,5.0,55.18,0,37.68,16.57,0.93,1.105,0.062,15,37.246,36.079,0.0
60,Artatza,925,904,Public Transport,True,41.0,2219.0,7.132207124999999,30.08333333333333,0.79330144375,38.00884190208333,570.57657,63.4641155,9.0,30.08,0,24.15,5.0,0.93,0.334,0.062,15,10.925,10.529,0.0
61,Artatzagana,1185,904,Public Transport,True,2150.0,1594.0,1.05851567875,29.266666666666666,6.41921255125,36.74439489666666,84.6812543,513.5370041,11.0,29.27,0,22.55,0.87,5.85,0.058,0.39,22,11.15,10.703,0.0
62,Arteaga (San Martin),2381,903,Public Transport,True,466.0,2064.0,2.00973798375,45.03333333333333,,,160.7790387,,6.0,45.03,1,40.33,2.2,2.5,0.146,0.166,15,16.808,16.495,12.77
