Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
17,495.0,903,True,511.0,2064.0,5.90538161125,2.5,472.4305289,166.0,Calculado,Mapeado,32.62538161125,24.22,0.0,15.568,15.103,0.0,13.0,4.48,2.5,0.299,0.166,31.2,32.62538161125,32.62538161125
18,7.0,902,True,727.0,209.0,62.151811695000006,1.58,4972.1449356,106.0,Calculado,Mapeado,146.95181169500003,83.22,3.0,41.146,38.164,27.83,5.0,43.13,1.58,2.876,0.106,127.93,146.95181169500003,174.78181169500004
19,37980.0,904,True,46.0,2219.0,2.9550068275,0.79330144375,236.4005462,63.4641155,Calculado,Calculado,27.36830827125,23.62,1.0,8.829,8.543,1.98,14.0,3.35,0.93,0.223,0.062,27.9,27.36830827125,29.34830827125
20,33.0,904,True,1199.0,2220.0,24.07089685375,0.90773412,1925.6717483,72.6187296,Calculado,Calculado,72.85863097375001,47.88,1.0,31.096,29.695,1.15,15.0,20.32,0.7,1.355,0.047,68.9,72.85863097375001,74.00863097375002
21,1827.0,902,True,893.0,249.0,7.378180111250001,1.52,590.2544089,101.0,Calculado,Mapeado,21.46818011125,12.57,0.0,7.634,7.333,0.0,32.0,3.0,1.52,0.2,0.101,17.08,21.46818011125,21.46818011125
22,828.0,901,True,1103.0,1078.0,37.666453515,0.91846033625,3013.3162812,73.4768269,Calculado,Calculado,85.11491385125001,46.53,1.0,31.018,29.222,6.07,17.0,26.02,0.93,1.734,0.062,73.48,85.11491385125001,91.18491385125
23,10645.0,902,True,63.0,209.0,0.2819079325,1.58,22.5526346,106.0,Calculado,Mapeado,36.861907932499996,35.0,2.0,13.99,13.835,2.23,30.0,0.73,1.58,0.049,0.106,37.32,36.861907932499996,39.09190793249999
24,25.0,901,True,33541.0,1078.0,35.595885894999995,0.91846033625,2847.6708716,73.4768269,Calculado,Calculado,65.94434623125,29.43,0.0,23.185,21.803,0.0,35.0,19.8,0.93,1.32,0.062,50.17,65.94434623125,65.94434623125
25,125.0,901,True,33541.0,1078.0,3.51549720625,0.91846033625,281.2397765,73.4768269,Calculado,Calculado,33.863957542499996,29.43,0.0,22.148,21.803,0.0,30.0,4.23,0.93,0.283,0.062,34.6,33.863957542499996,33.863957542499996
26,440.0,902,True,784.0,209.0,3.10050352,1.58,248.0402816,106.0,Calculado,Mapeado,82.93050352,78.25,2.0,50.861,50.614,8.85,7.0,2.12,1.58,0.141,0.106,81.95,82.93050352,91.78050352
27,91.0,904,True,1148.0,2220.0,11.47727080125,0.90773412,918.1816641,72.6187296,Calculado,Calculado,41.81500492125,29.43,1.0,17.086,16.368,1.15,15.0,10.07,0.7,0.671,0.047,40.2,41.81500492125,42.96500492125
28,17603.0,901,True,1073.0,1078.0,2.8749088825,0.91846033625,229.9927106,73.4768269,Calculado,Calculado,15.12336921875,11.33,0.0,9.176,8.971,0.0,35.0,2.15,0.93,0.143,0.062,14.42,15.12336921875,15.12336921875
29,23.0,901,True,1836.0,1078.0,30.59521040625,0.91846033625,2447.6168325,73.4768269,Calculado,Calculado,75.6336707425,44.12,0.0,30.015,28.815,0.0,15.0,17.07,0.93,1.138,0.062,62.12,75.6336707425,75.6336707425
30,36.0,901,True,1158.0,1005.0,9.217734485,1.089115005,737.4187588,87.1292004,Calculado,Calculado,61.75684949000001,51.45,2.0,27.911,27.36,4.65,6.0,7.15,1.1,0.476,0.074,59.7,61.75684949000001,66.40684949000001
31,13139.0,904,True,67.0,2219.0,12.7502919375,0.79330144375,1020.023355,63.4641155,Calculado,Calculado,33.64359338125001,20.1,1.0,7.773,7.105,1.98,14.0,9.08,0.93,0.606,0.062,30.12,33.64359338125001,35.623593381250004
32,100.0,901,True,1706.0,1078.0,2.15254951875,0.91846033625,172.2039615,73.4768269,Calculado,Calculado,29.271009855,26.2,1.0,14.392,14.21,3.88,4.0,1.8,0.93,0.12,0.062,28.93,29.271009855,33.151009855
33,167.0,904,True,2106.0,1648.0,1.550153175,6.839990448749999,124.012254,547.1992359,Calculado,Calculado,46.82014362375,38.43,1.0,15.217,14.716,11.43,19.0,1.5,6.03,0.1,0.402,45.97,46.82014362375,58.25014362375
34,934.0,902,True,1479.0,209.0,5.13797641375,1.58,411.0381131,106.0,Calculado,Mapeado,51.51797641374999,44.8,1.0,39.19,38.773,1.72,28.0,4.68,1.58,0.312,0.106,51.07,51.51797641374999,53.23797641374999
35,5.0,901,True,1564.0,1005.0,20.7173559775,1.089115005,1657.3884782,87.1292004,Calculado,Calculado,66.9564709825,45.15,0.0,21.549,20.875,0.0,27.0,9.0,1.1,0.601,0.074,55.25,66.9564709825,66.9564709825
36,1543.0,901,True,1066.0,1078.0,5.0753008625,0.91846033625,406.024069,73.4768269,Calculado,Calculado,34.623761198749996,28.63,0.0,22.374,21.984,0.0,16.0,4.9,0.93,0.327,0.062,34.47,34.623761198749996,34.623761198749996
37,1909.0,902,True,637.0,209.0,4.11514505625,1.58,329.2116045,106.0,Calculado,Mapeado,38.36514505625,32.67,1.0,21.192,20.943,4.93,45.0,2.15,1.58,0.143,0.106,36.4,38.36514505625,43.29514505625
38,81.0,901,True,1392.0,1078.0,7.495646618749999,0.91846033625,599.6517295,73.4768269,Calculado,Calculado,15.864106954999999,7.45,0.0,4.738,4.405,0.0,65.0,4.05,0.93,0.27,0.062,12.43,15.864106954999999,15.864106954999999
