Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Numero_Transbordos,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Distancia_Viaje_Original_Km,Verificacion_Tiempo_Total,Verificacion_Distancia_Total_Km
54,365.0,905,True,1536,17,0.86095978875,9.87,68.8767831,658.0,Calculado,Mapeado,91.50095978875,80.77,33.0788767831,32.352,2.0,8.15,19.0,0.82,9.87,0.055,0.658,91.45,33.065,91.50095978875,33.0788767831
55,53.0,905,True,331603,17,35.40212754125,9.87,2832.1702033,658.0,Calculado,Mapeado,127.82212754125001,82.55,37.288170203300005,33.798,2.0,8.15,18.0,15.88,9.87,1.058,0.658,108.3,35.514,127.82212754125001,37.288170203300005
56,58.0,905,True,2232,2236,1.21346450125,0.63,97.0771601,42.0,Calculado,Mapeado,122.91346450124999,121.07,51.8560771601,51.717,2.0,59.78,5.0,1.55,0.63,0.103,0.042,123.25,51.862,122.91346450124999,51.8560771601
57,512.0,905,True,149,2236,1.08883795875,0.63,87.1070367,42.0,Calculado,Mapeado,17.418837958749997,15.7,8.772107036700001,8.643,0.0,0.0,17.0,0.9,0.63,0.06,0.042,17.23,8.744,17.418837958749997,8.772107036700001
58,6159.0,905,True,179,17,5.12855934625,9.87,410.2847477,658.0,Calculado,Mapeado,81.89855934625001,66.9,26.8092847477,25.741,2.0,4.68,7.0,4.52,9.87,0.301,0.658,81.28,26.701,81.89855934625001,26.8092847477
59,30.0,905,True,999,2236,43.77141175625,0.63,3501.7129405,42.0,Calculado,Mapeado,145.12141175624998,100.72,58.8647129405,55.321,2.0,35.77,7.0,16.57,0.63,1.105,0.042,117.92,56.468,145.12141175624998,58.8647129405
60,925.0,905,True,37,2236,5.79821170375,0.63,463.8569363,42.0,Calculado,Mapeado,37.048211703750006,30.62,5.9968569362999995,5.491,1.0,15.37,14.0,4.43,0.63,0.296,0.042,35.68,5.829,37.048211703750006,5.9968569362999995
61,1185.0,905,True,15,2236,8.037214706250001,0.63,642.9771765,42.0,Calculado,Mapeado,30.28721470625,21.62,3.8839771764999997,3.199,1.0,15.37,13.0,9.28,0.63,0.619,0.042,31.53,3.86,30.28721470625,3.8839771764999997
62,2381.0,905,True,466,2236,2.00973798375,0.63,160.7790387,42.0,Calculado,Mapeado,65.96973798375,63.33,13.4847790387,13.282,1.0,40.3,20.0,2.2,0.63,0.146,0.042,66.17,13.47,65.96973798375,13.4847790387
63,3761.0,905,True,512,2236,15.53450215,0.63,1242.760172,42.0,Calculado,Mapeado,67.23450215,51.07,13.210760172,11.926,1.0,31.87,22.0,9.18,0.63,0.612,0.042,60.88,12.581,67.23450215,13.210760172
