Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
418,1513.0,716,True,966.0,1078.0,3.2503734162500004,0.9184603362500001,260.0298733,73.4768269,13.935500419166669,Public Transport,9.77,0.0,6.88,1.95,0.93,0.13,0.062,9.0,5.768,5.575,0.0
419,13.0,726,True,1937.0,197.0,50.678072763749995,1.7622562262500001,4054.2458211,140.9804981,145.35699565666667,Public Transport,92.92,0.0,62.77,28.57,1.58,1.905,0.105,7.0,35.807,33.797,0.0
420,112.0,726,True,1567.0,197.0,16.5200141425,1.7622562262500001,1321.6011314,140.9804981,52.998937035416674,Public Transport,34.72,0.0,23.92,9.22,1.58,0.615,0.105,27.0,12.202,11.483,0.0
421,29.0,750,True,1241.0,220863.0,72.8395791725,1.43194523875,5827.1663338,114.5556191,137.22152441125,Public Transport,62.95,0.0,10.32,52.23,0.4,3.482,0.027,8.0,10.302,6.793,0.0
422,42.0,716,True,1521.0,1078.0,25.538539172500002,0.9184603362500001,2043.0831338,73.4768269,76.87366617541667,Public Transport,50.42,0.0,26.27,23.22,0.93,1.547,0.062,35.0,20.56,18.951,0.0
423,51.0,726,True,1554.0,184.0,26.502140509999997,1.93204646625,2120.1712408,154.5637173,115.11752030958334,Public Transport,87.65,0.0,62.77,23.3,1.58,1.554,0.105,4.0,34.226,32.567,0.0
424,28.0,726,True,1339.0,197.0,26.424315836250003,1.7622562262500001,2113.9452669,140.9804981,84.80323872916668,Public Transport,57.65,0.0,33.32,22.75,1.58,1.516,0.105,5.0,13.227,11.606,0.0
425,892.0,733,True,590.0,592.0,3.89252925,2.8707672737500003,311.40234,229.6613819,14.51329652375,Public Transport,7.75,0.0,1.78,3.67,2.3,0.244,0.153,113.0,1.422,1.024,0.0
426,270.0,748,True,114254.0,2259.0,1.7703349137499997,2.96384893875,141.6267931,237.1079151,14.317517185833335,Public Transport,9.58,0.0,5.33,1.95,2.3,0.131,0.154,30.0,4.41,4.125,0.0
427,453.0,752,True,1140.0,1718.0,2.2987746112500003,5.48546768625,183.9019689,438.8374149,32.6342422975,Public Transport,24.85,0.0,18.27,2.87,3.72,0.191,0.248,18.0,11.945,11.506,0.0
