Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
97;36;631;True;649;722;16.01;3.04;1280.83;242.81;25.10;6.05;0;4.5;3.406;0;7
98;79;641;True;113250;750;27.94;2.82;2235.05;225.94;32.11;1.35;0;2.696;1.535;0;7
99;41;636;False;;;2.57;3.02;171.00;201.00;5.58;0;0;0.372;0;0;0
100;94;642;False;;;25.07;1.65;1672.00;110.00;26.72;0;0;1.782;0;0;0
101;348605;603;False;;;4.58;0.83;306.00;56.00;5.42;0;0;0.361;0;0;0
102;174;593;True;1502;978;25.15;1.99;2012.10;159.57;31.45;4.3;0;5.018;3.07;0;47
103;36;641;True;113250;750;21.51;2.82;1720.66;225.94;25.68;1.35;0;2.757;1.535;0;7
104;40;562;True;1404;262540;6.33;2.89;506.70;231.30;14.53;5.3;0;3.616;3.184;0;33
105;36;651;False;;;18.50;2.45;1233.00;163.00;20.95;0;0;1.396;0;0;0
106;27;563;True;199;203;25.43;0.10;2034.61;7.93;29.11;3.58;0;2.743;1.923;0;87
107;6;645;False;;;15.82;0.43;1054.00;29.00;16.25;0;0;1.083;0;0;0
108;27;517;False;;;9.92;0.58;661.00;39.00;10.50;0;0;0.699;0;0;0
109;743;589;False;;;2.62;2.18;175.00;146.00;4.80;0;0;0.32;0;0;0
110;81;598;True;710;555;0.96;1.13;77.08;90.48;11.07;8.98;0;5.815;5.717;0;8
111;452;641;False;;;2.03;3.33;135.00;222.00;5.37;0;0;0.357;0;0;0
112;25;673;False;;;13.60;1.50;907.00;100.00;15.10;0;0;1.006;0;0;0
113;36;699;False;;;13.80;4.33;920.00;288.00;18.13;0;0;1.209;0;0;0
114;22;569;False;;;15.93;4.65;1063.00;309.00;20.58;0;0;1.372;0;0;0
