Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
433,10120.0,718,True,370,284,2.3443998975,2.53,187.5519918,169.0,Calculado,Mapeado,13.6443998975,8.77,0.0,5.917,5.634,0.0,32.0,1.72,2.53,0.114,0.169,13.02,13.6443998975,13.6443998975
434,110.0,718,True,562,245,0.6764284899999999,4.57,54.1142792,304.0,Calculado,Mapeado,42.976428489999996,37.73,1.0,14.846,14.446,4.82,28.0,1.45,4.57,0.096,0.304,43.75,42.976428489999996,47.79642849
435,914.0,718,True,408,278,6.577492712500001,2.5,526.199417,166.0,Calculado,Mapeado,54.707492712500006,45.63,1.0,25.241,24.706,1.38,10.0,5.53,2.5,0.369,0.166,53.67,54.707492712500006,56.08749271250001
436,2832.0,718,True,1424,278,4.4812923075,1.32,358.5033846,88.0,Calculado,Mapeado,66.3712923075,60.57,2.0,45.605,45.211,4.62,25.0,4.58,1.32,0.306,0.088,66.47,66.3712923075,70.9912923075
437,148.0,718,True,877,283,7.678175738749999,4.08,614.2540591,272.0,Calculado,Mapeado,44.78817573875,33.03,1.0,20.843,20.041,0.55,1.0,7.95,4.08,0.53,0.272,45.07,44.78817573875,45.338175738749996
438,29.0,718,True,477,2064,6.86848694625,2.5,549.4789557,166.0,Calculado,Mapeado,24.868486946250002,15.5,0.0,10.385,9.809,0.0,13.0,6.13,2.5,0.409,0.166,24.13,24.868486946250002,24.868486946250002
439,382.0,718,True,888,284,1.9434647875,4.08,155.477183,272.0,Calculado,Mapeado,21.743464787500002,15.72,0.0,12.135,11.73,0.0,14.0,1.98,4.08,0.133,0.272,21.78,21.743464787500002,21.743464787500002
440,216.0,718,True,1655,284,0.9661937525,2.53,77.2955002,169.0,Calculado,Mapeado,66.02619375249999,62.53,2.0,21.775,20.507,6.57,28.0,16.5,2.53,1.099,0.169,81.57,66.02619375249999,72.5961937525
441,500.0,718,True,2072,2064,2.25668433625,2.5,180.5347469,166.0,Calculado,Mapeado,22.13668433625,17.38,0.0,10.674,10.048,0.0,25.0,6.9,2.5,0.46,0.166,26.78,22.13668433625,22.13668433625
442,47.0,718,True,1493,284,43.32740062625,2.53,3466.1920501,169.0,Calculado,Mapeado,109.58740062625,63.73,1.0,54.333,52.015,5.55,44.0,32.25,2.53,2.15,0.169,98.52,109.58740062625,115.13740062625
443,287.0,718,True,1529,278,3.5685691475,1.32,285.4855318,88.0,Calculado,Mapeado,60.6185691475,55.73,1.0,30.459,30.201,6.88,24.0,2.55,1.32,0.17,0.088,59.6,60.6185691475,67.49856914749999
444,151.0,718,True,993,284,27.826538055,2.53,2226.1230444,169.0,Calculado,Mapeado,115.336538055,84.98,1.0,69.711,68.05,5.55,19.0,22.38,2.53,1.492,0.169,109.9,115.336538055,120.886538055
445,621.0,718,True,1061,278,2.771822405,1.32,221.7457924,88.0,Calculado,Mapeado,83.69182240499998,79.6,2.0,49.657,49.487,15.87,10.0,1.23,1.32,0.082,0.088,82.15,83.69182240499998,99.56182240499999
446,47.0,718,True,1568,284,67.03604090249999,2.53,5362.8832722,169.0,Calculado,Mapeado,143.9160409025,74.35,3.0,27.035,24.403,7.02,21.0,36.95,2.53,2.464,0.169,113.83,143.9160409025,150.9360409025
447,26.0,718,True,1257,284,19.7656732075,2.53,1581.2538566,169.0,Calculado,Mapeado,115.2456732075,92.95,2.0,64.632,63.376,2.7,13.0,16.32,2.53,1.087,0.169,111.8,115.2456732075,117.94567320750001
448,387.0,718,True,97126,278,3.39413664875,1.32,271.5309319,88.0,Calculado,Mapeado,95.59413664875,90.88,3.0,42.473,42.171,24.83,9.0,3.22,1.32,0.214,0.088,95.42,95.59413664875,120.42413664875
449,601.0,718,True,1141,2064,6.43863562125,2.5,515.0908497,166.0,Calculado,Mapeado,77.50863562125,68.57,1.0,34.614,34.167,9.0,12.0,4.22,2.5,0.282,0.166,75.28,77.50863562125,86.50863562125
450,1778.0,718,True,1560,284,1.06004024875,2.53,84.8032199,169.0,Calculado,Mapeado,107.66004024875,104.07,3.0,41.596,41.364,7.02,16.0,0.95,2.53,0.063,0.169,107.55,107.66004024875,114.68004024874999
451,53.0,718,True,1392,278,9.99718818125,1.32,799.7750545,88.0,Calculado,Mapeado,55.71718818125,44.4,1.0,22.887,22.658,2.27,33.0,2.12,1.32,0.142,0.088,47.83,55.71718818125,57.987188181250005
452,425.0,718,True,937,283,20.19208181375,4.08,1615.3665451,272.0,Calculado,Mapeado,59.15208181375,34.88,1.0,20.231,19.524,6.32,14.0,6.53,4.08,0.435,0.272,45.5,59.15208181375,65.47208181375001
453,119.0,718,True,1563,284,9.19155118875,2.53,735.3240951,169.0,Calculado,Mapeado,91.70155118875,79.98,3.0,29.301,28.751,7.02,21.0,5.73,2.53,0.382,0.169,88.25,91.70155118875,98.72155118875
