Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
348,55.0,718,True,1346,284,35.56636385375,,2845.3091083,,,Public Transport,83.72,3.0,66.82,14.37,2.53,0.958,0.169,29.0,22.877,21.751,7.02
349,72.0,718,True,180,284,3.34861802,,267.8894416,,,Public Transport,65.33,2.0,61.15,1.65,2.53,0.11,0.169,30.0,20.231,19.952,6.57
350,41.0,718,True,1486,278,1.87799833,,150.2398664,,,Public Transport,67.13,1.0,64.03,1.78,1.32,0.118,0.088,21.0,45.615,45.409,3.42
351,242.0,718,True,37,2064,13.233403765,,1058.6723012,,,Public Transport,29.43,0.0,16.28,10.65,2.5,0.71,0.166,28.0,10.187,9.31,0.0
352,7.0,718,True,766,278,1.1091658125000001,,88.733265,,,Public Transport,111.38,1.0,106.82,0.48,4.08,0.032,0.272,7.0,60.917,60.613,12.52
353,131.0,718,True,780,278,31.96520363875,,2557.2162911,,,Public Transport,122.02,1.0,102.08,15.85,4.08,1.057,0.272,7.0,56.68,55.352,12.52
354,1850.0,718,True,511,2064,5.31971247375,,425.5769979,,,Public Transport,30.85,0.0,24.22,4.13,2.5,0.276,0.166,13.0,15.545,15.103,0.0
355,36.0,718,True,1785,284,19.12040294125,,1529.6322353,,,Public Transport,66.1,1.0,52.32,9.7,4.08,0.646,0.272,9.0,23.849,22.932,0.3
356,43.0,718,True,1391,278,5.910851435,,472.8681148,,,Public Transport,52.95,1.0,45.73,5.9,1.32,0.393,0.088,35.0,23.79,23.309,2.27
357,54.0,718,True,1468,284,0.45552948125,,36.4423585,,,Public Transport,70.77,2.0,67.48,0.75,2.53,0.05,0.169,14.0,45.766,45.547,8.18
358,6038.0,718,True,554,284,6.6920953025,,535.3676242,,,Public Transport,42.22,0.0,39.55,0.13,2.53,0.009,0.169,28.0,19.78,19.603,0.0
359,299.0,718,True,1660,278,10.912502790000001,,873.0002232,,,Public Transport,63.97,1.0,53.12,9.53,1.32,0.635,0.088,30.0,29.612,28.889,6.88
360,399.0,718,True,57,2064,5.5186679575,,441.4934366,,,Public Transport,16.9,0.0,12.32,2.08,2.5,0.139,0.166,31.0,8.415,8.11,0.0
361,44.0,718,True,79384,278,4.7783706725,,382.2696538,,,Public Transport,99.98,2.0,95.78,2.88,1.32,0.192,0.088,8.0,58.846,58.566,9.35
362,241.0,718,True,2141,283,5.7328114775,,458.6249182,,,Public Transport,54.63,1.0,47.73,2.82,4.08,0.188,0.272,47.0,20.06,19.601,1.53
363,118.0,718,True,557,283,0.29096167375,,23.2769339,,,Public Transport,40.07,1.0,35.58,0.4,4.08,0.026,0.272,28.0,15.346,15.047,3.65
364,145.0,718,True,691,284,2.83821704625,,227.0573637,,,Public Transport,76.07,0.0,70.52,3.02,2.53,0.201,0.169,18.0,29.999,29.63,0.0
365,117.0,718,True,726,278,0.22816601374999998,,18.2532811,,,Public Transport,110.38,2.0,106.02,0.28,4.08,0.019,0.272,1.0,41.236,40.946,31.5
366,44.0,718,True,624,284,15.689832527499998,,1255.1866022,,,Public Transport,35.8,0.0,19.43,13.83,2.53,0.923,0.169,38.0,13.597,12.506,0.0
367,242.0,718,True,1739,284,1.58907319625,,127.1258557,,,Public Transport,63.07,1.0,57.5,1.48,4.08,0.099,0.272,9.0,25.99,25.619,0.3
368,84.0,718,True,1069,284,2.88357422625,,230.6859381,,,Public Transport,58.03,2.0,52.07,3.43,2.53,0.228,0.169,59.0,36.533,36.136,4.57
369,28.0,718,True,559,283,1.8901184,,151.209472,,,Public Transport,39.35,1.0,33.37,1.9,4.08,0.126,0.272,27.0,14.624,14.226,3.65
370,101375.0,718,True,282,284,1.6603562075,,132.8284966,,,Public Transport,5.63,0.0,1.13,1.97,2.53,0.131,0.169,195.0,0.955,0.656,0.0
371,968.0,718,True,935,283,10.9928899875,,879.431199,,,Public Transport,52.93,1.0,36.35,12.5,4.08,0.833,0.272,17.0,21.51,20.405,6.32
372,1830.0,718,True,583,284,6.23761515,,499.009212,,,Public Transport,26.57,0.0,18.97,5.07,2.53,0.338,0.169,31.0,12.837,12.33,0.0
373,44.0,718,True,772,278,3.20862866,,256.6902928,,,Public Transport,117.08,1.0,109.75,3.25,4.08,0.217,0.272,7.0,64.364,63.876,12.52
374,54.0,718,True,728,278,20.1647162275,,1613.1772982,,,Public Transport,125.52,2.0,103.57,17.87,4.08,1.191,0.272,5.0,40.981,39.518,31.5
375,2939.0,718,True,190,284,15.5307477925,,1242.4598234,,,Public Transport,63.65,2.0,44.38,16.73,2.53,1.115,0.169,31.0,14.066,12.782,6.62
