Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
53,48.0,652,True,1083.0,1085.0,11.2896427,0.82598638875,903.171416,66.0789111,Calculado,Calculado,13.485629088749999,1.37,0.0,1.822,1.178,0.0,32.0,9.02,0.67,0.601,0.044,11.05,13.485629088749999,13.485629088749999
54,365.0,675,True,1536.0,1392.0,0.86095978875,6.75391609125,68.8767831,540.3132873,Calculado,Calculado,9.19487588,1.58,0.0,1.794,1.371,0.0,75.0,0.82,5.52,0.055,0.368,7.92,9.19487588,9.19487588
55,53.0,583,True,1538.0,1531.0,35.28215189,1.1259827274999998,2822.5721512,90.0786182,Calculado,Calculado,41.92813461750001,5.52,0.0,4.797,3.688,0.0,47.0,15.88,0.75,1.058,0.05,22.15,41.92813461750001,41.92813461750001
56,58.0,616,True,2232.0,1475.0,1.21346450125,2.15542008,97.0771601,172.4336064,Calculado,Calculado,16.58888458125,13.22,0.0,8.358,8.141,0.0,15.0,1.55,1.72,0.103,0.114,16.48,16.58888458125,16.58888458125
57,512.0,576,True,149.0,151.0,1.08883795875,1.6741110225,87.1070367,133.9288818,Calculado,Calculado,4.49294898125,1.73,0.0,1.206,1.07,0.0,17.0,0.9,1.15,0.06,0.077,3.78,4.49294898125,4.49294898125
58,6159.0,563,False,,,299.70978017875,0.17,23976.7824143,11.0,Calculado,Mapeado,299.87978017875,0.0,0.0,0.166,0.0,0.0,0.0,2.32,0.17,0.155,0.011,2.48,299.87978017875,299.87978017875
59,30.0,593,True,983.0,978.0,43.60428495375,1.9945926925,3488.3427963,159.5674154,Calculado,Calculado,51.71887764625,6.12,0.0,6.604,5.386,0.0,47.0,16.17,2.1,1.078,0.14,24.38,51.71887764625,51.71887764625
60,925.0,589,True,37.0,39.0,5.79821170375,4.869864615,463.8569363,389.5891692,Calculado,Calculado,12.09807631875,1.43,0.0,1.277,0.835,0.0,161.0,4.43,2.18,0.296,0.146,8.05,12.09807631875,12.09807631875
61,1185.0,589,True,2150.0,39.0,1.05851567875,4.869864615,84.6812543,389.5891692,Calculado,Calculado,9.22838029375,3.3,0.0,1.211,1.007,0.0,151.0,0.87,2.18,0.058,0.146,6.35,9.22838029375,9.22838029375
62,2381.0,574,True,466.0,495.0,2.00973798375,0.8581321412499999,160.7790387,68.6505713,Calculado,Calculado,5.067870125,2.2,0.0,2.474,2.289,0.0,47.0,2.2,0.58,0.146,0.039,4.98,5.067870125,5.067870125
63,3761.0,574,False,,,193.77748565375,0.58,15502.1988523,39.0,Calculado,Mapeado,194.35748565375002,0.0,0.0,0.611,0.0,0.0,0.0,8.58,0.58,0.573,0.039,9.17,194.35748565375002,194.35748565375002
64,30.0,701,True,1307.0,1311.0,56.05876034875,1.8012169,4484.7008279,144.097352,Calculado,Calculado,60.67997724875,2.82,0.0,4.284,2.167,0.0,51.0,31.23,0.52,2.082,0.034,34.57,60.67997724875,60.67997724875
65,45.0,636,False,,,416.69926338625,3.02,33335.9410709,201.0,Calculado,Mapeado,419.71926338624996,0.0,0.0,0.625,0.0,0.0,0.0,6.37,3.02,0.424,0.201,9.38,419.71926338624996,419.71926338624996
66,50.0,562,True,1405.0,262540.0,2.21716608,2.89121662125,177.3732864,231.2973297,Calculado,Calculado,8.55838270125,3.45,0.0,1.892,1.637,0.0,33.0,1.83,2.0,0.122,0.134,7.28,8.55838270125,8.55838270125
67,43.0,624,True,2174.0,1523.0,30.140410107500003,1.42591767,2411.2328086,114.0734136,Calculado,Calculado,33.4363277775,1.87,0.0,2.272,1.299,0.0,35.0,12.88,1.7,0.859,0.114,16.45,33.4363277775,33.4363277775
68,28.0,638,True,1490.0,1491.0,37.09289674875,0.9892192375,2967.4317399,79.137539,Calculado,Calculado,41.01211598625,2.93,0.0,2.669,1.901,0.0,31.0,10.7,0.82,0.713,0.055,14.45,41.01211598625,41.01211598625
69,10312.0,564,True,61.0,69146.0,0.8653357937499999,0.781175985,69.2268635,62.4940788,Calculado,Calculado,1.92651177875,0.28,0.0,0.271,0.16,0.0,18.0,0.82,0.85,0.055,0.057,1.95,1.92651177875,1.92651177875
70,53.0,652,False,,,521.55620836375,0.67,41724.4966691,44.0,Calculado,Mapeado,522.22620836375,0.0,0.0,0.153,0.0,0.0,0.0,1.63,0.67,0.109,0.044,2.3,522.22620836375,522.22620836375
71,155.0,656,True,1631.0,1633.0,9.44478875,1.68,755.5831,113.0,Calculado,Mapeado,13.69478875,2.57,0.0,2.325,1.493,0.0,18.0,10.8,1.68,0.719,0.113,15.05,13.69478875,13.69478875
72,372.0,632,False,,,729.95356891625,0.75,58396.2855133,50.0,Calculado,Mapeado,730.70356891625,0.0,0.0,0.252,0.0,0.0,0.0,3.03,0.75,0.202,0.05,3.78,730.70356891625,730.70356891625
73,787.0,640,True,1101.0,1102.0,1.0279030275,2.386834285,82.2322422,190.9467428,Calculado,Calculado,4.264737312499999,0.85,0.0,0.826,0.62,0.0,32.0,1.33,1.75,0.089,0.117,3.93,4.264737312499999,4.264737312499999
74,33.0,623,True,1537.0,1544.0,7.470167575,0.7662784525,597.613406,61.3022762,Calculado,Calculado,16.0364460275,7.8,0.0,6.489,6.089,0.0,32.0,5.62,0.38,0.374,0.026,13.8,16.0364460275,16.0364460275
75,22.0,665,True,1413.0,1417.0,29.231624,1.6451094412500002,2338.52992,131.6087553,Calculado,Calculado,33.84673344125,2.97,0.0,4.468,3.355,0.0,33.0,15.67,1.03,1.044,0.068,19.67,33.84673344125,33.84673344125
76,32.0,652,True,1083.0,1085.0,37.55374639875,0.82598638875,3004.2997119,66.0789111,Calculado,Calculado,39.7497327875,1.37,0.0,3.389,1.178,0.0,32.0,32.52,0.67,2.168,0.044,34.55,39.7497327875,39.7497327875
77,7575.0,565,False,,,341.10810505250004,2.95,27288.6484042,197.0,Calculado,Mapeado,344.0581050525,0.0,0.0,0.752,0.0,0.0,0.0,8.33,2.95,0.556,0.197,11.28,344.0581050525,344.0581050525
78,6.0,664,True,1040.0,1041.0,18.9376142075,1.14658604625,1515.0091366,91.7268837,Calculado,Calculado,22.05420025375,1.97,0.0,2.831,1.525,0.0,9.0,19.15,0.43,1.277,0.029,21.55,22.05420025375,22.05420025375
79,89.0,569,True,1219.0,1096.0,9.524628675,5.5041516,761.970294,440.332128,Calculado,Calculado,15.948780275,0.92,0.0,1.554,0.683,0.0,39.0,8.42,4.65,0.561,0.309,13.98,15.948780275,15.948780275
80,56.0,642,True,1975.0,1973.0,45.26120641875,2.5938804625,3620.8965135,207.510437,Calculado,Calculado,50.125086881250006,2.27,0.0,2.659,1.615,0.0,15.0,13.6,2.07,0.907,0.137,17.93,50.125086881250006,50.125086881250006
81,59.0,583,True,1541.0,1531.0,11.368646675,1.1259827274999998,909.491734,90.0786182,Calculado,Calculado,13.974629402500002,1.48,0.0,1.193,1.007,0.0,47.0,2.03,0.75,0.136,0.05,4.27,13.974629402500002,13.974629402500002
82,2494.0,637,True,2077.0,2265.0,4.91335080375,0.23042009375,393.0680643,18.4336075,Calculado,Calculado,9.793770897500002,4.65,0.0,1.96,1.679,0.0,30.0,3.88,0.33,0.258,0.022,8.87,9.793770897500002,9.793770897500002
83,24.0,662,True,1025.0,1029.0,16.1758427775,1.02471803,1294.0674222,81.9774424,Calculado,Calculado,20.8805608075,3.68,0.0,4.903,3.698,0.0,9.0,16.5,1.58,1.1,0.106,21.77,20.8805608075,20.8805608075
84,3737.0,574,True,435.0,495.0,0.98358256875,0.8581321412499999,78.6866055,68.6505713,Calculado,Calculado,5.741714709999999,3.9,0.0,3.194,3.081,0.0,67.0,1.1,0.58,0.074,0.039,5.58,5.741714709999999,5.741714709999999
85,37.0,653,True,1157.0,1158.0,25.35636248875,4.86676946,2028.5089991,389.3415568,Calculado,Calculado,32.25313194875,2.03,0.0,2.438,1.538,0.0,7.0,9.18,4.32,0.612,0.288,15.53,32.25313194875,32.25313194875
86,38.0,643,True,1862.0,1048.0,0.7940414474999999,0.07314246375,63.5233158,5.8513971,Calculado,Calculado,5.39718391125,4.53,0.0,2.476,2.431,0.0,8.0,0.58,0.1,0.038,0.006,5.22,5.39718391125,5.39718391125
87,35.0,515,True,25.0,26.0,7.18145477,0.28810997125,574.5163816,23.0487977,Calculado,Calculado,9.48956474125,2.02,0.0,1.116,0.755,0.0,42.0,5.02,0.42,0.334,0.027,7.45,9.48956474125,9.48956474125
88,71.0,511,True,972.0,1992.0,8.872220635,1.03955254375,709.7776508,83.1642035,Calculado,Calculado,13.58177317875,3.67,0.0,2.036,1.447,0.0,84.0,8.08,0.75,0.539,0.05,12.5,13.58177317875,13.58177317875
89,45.0,692,True,1580.0,1569.0,1.51604762,2.47,121.2838096,164.0,Calculado,Mapeado,8.53604762,4.55,0.0,3.122,2.828,0.0,27.0,1.93,2.47,0.129,0.164,8.95,8.53604762,8.53604762
90,4544.0,637,True,2154.0,2265.0,4.09318791875,0.23042009375,327.4550335,18.4336075,Calculado,Calculado,4.7036080125,0.38,0.0,0.466,0.198,0.0,17.0,3.7,0.33,0.246,0.022,4.42,4.7036080125,4.7036080125
91,16507.0,569,False,,,438.6353136787501,4.65,35090.8250943,309.0,Calculado,Mapeado,443.2853136787501,0.0,0.0,0.546,0.0,0.0,0.0,3.55,4.65,0.237,0.309,8.2,443.2853136787501,443.2853136787501
92,36.0,665,True,1413.0,1417.0,35.8706173075,1.6451094412500002,2869.6493846,131.6087553,Calculado,Calculado,40.48572674875,2.97,0.0,4.824,3.355,0.0,33.0,21.0,1.03,1.4,0.068,25.0,40.48572674875,40.48572674875
93,26.0,641,False,,,339.69468792625,3.33,27175.5750341,222.0,Calculado,Mapeado,343.02468792625,0.0,0.0,3.435,0.0,0.0,0.0,48.18,3.33,3.213,0.222,51.52,343.02468792625,343.02468792625
94,2046.0,574,True,1696.0,512.0,3.59562569875,0.8308609887499999,287.6500559,66.4688791,Calculado,Calculado,14.226486687500001,9.8,0.0,6.194,5.951,0.0,17.0,2.68,0.95,0.179,0.064,13.43,14.226486687500001,14.226486687500001
95,100.0,646,True,1484.0,1485.0,32.13408319875,5.1352936225,2570.7266559,410.8234898,Calculado,Calculado,37.78937682125,0.52,0.0,2.467,0.587,0.0,33.0,23.88,4.3,1.593,0.287,28.7,37.78937682125,37.78937682125
96,3804.0,639,False,,,642.11192491875,7.12,51368.9539935,474.0,Calculado,Mapeado,649.23192491875,0.0,0.0,0.704,0.0,0.0,0.0,3.45,7.12,0.23,0.474,10.57,649.23192491875,649.23192491875
97,36.0,631,True,649.0,722.0,16.01035844375,3.035140325,1280.8286755,242.811226,Calculado,Calculado,25.09549876875,6.05,0.0,4.5,3.406,0.0,7.0,14.18,2.23,0.946,0.148,22.47,25.09549876875,25.09549876875
98,79.0,641,True,113250.0,750.0,27.93815787875,2.82428233625,2235.0526303,225.9425869,Calculado,Calculado,32.112440215,1.35,0.0,2.696,1.535,0.0,7.0,14.08,3.33,0.939,0.222,18.77,32.112440215,32.112440215
99,41.0,636,False,,,417.101507495,3.02,33368.1205996,201.0,Calculado,Mapeado,420.121507495,0.0,0.0,0.372,0.0,0.0,0.0,2.57,3.02,0.171,0.201,5.58,420.121507495,420.121507495
100,94.0,642,False,,,462.1091177875,1.65,36968.729423,110.0,Calculado,Mapeado,463.7591177875,0.0,0.0,1.782,0.0,0.0,0.0,25.07,1.65,1.672,0.11,26.72,463.7591177875,463.7591177875
101,348605.0,603,False,,,126.219164955,0.83,10097.5331964,56.0,Calculado,Mapeado,127.049164955,0.0,0.0,0.361,0.0,0.0,0.0,4.58,0.83,0.306,0.056,5.42,127.049164955,127.049164955
102,174.0,593,True,1502.0,978.0,25.15128024,1.9945926925,2012.1024192,159.5674154,Calculado,Calculado,31.4458729325,4.3,0.0,5.018,3.07,0.0,47.0,27.12,2.1,1.808,0.14,33.52,31.4458729325,31.4458729325
103,36.0,641,True,113250.0,750.0,21.50830787125,2.82428233625,1720.6646297,225.9425869,Calculado,Calculado,25.682590207500002,1.35,0.0,2.757,1.535,0.0,7.0,15.0,3.33,1.0,0.222,19.68,25.682590207500002,25.682590207500002
104,40.0,562,True,1404.0,262540.0,6.3337937150000005,2.89121662125,506.7034972,231.2973297,Calculado,Calculado,14.525010336249998,5.3,0.0,3.616,3.184,0.0,33.0,4.48,2.0,0.298,0.134,11.78,14.525010336249998,14.525010336249998
105,36.0,651,False,,,348.845248235,2.45,27907.6198588,163.0,Calculado,Mapeado,351.295248235,0.0,0.0,1.396,0.0,0.0,0.0,18.5,2.45,1.233,0.163,20.95,351.295248235,351.295248235
106,27.0,563,True,199.0,203.0,25.43256612375,0.0990648575,2034.6052899,7.9251886,Calculado,Calculado,29.11163098125,3.58,0.0,2.743,1.923,0.0,87.0,12.13,0.17,0.809,0.011,15.88,29.11163098125,29.11163098125
107,6.0,645,False,,,243.1996852825,0.43,19455.9748226,29.0,Calculado,Mapeado,243.62968528250002,0.0,0.0,1.083,0.0,0.0,0.0,15.82,0.43,1.054,0.029,16.25,243.62968528250002,243.62968528250002
108,27.0,517,False,,,209.9388126025,0.58,16795.1050082,39.0,Calculado,Mapeado,210.51881260250002,0.0,0.0,0.699,0.0,0.0,0.0,9.92,0.58,0.661,0.039,10.5,210.51881260250002,210.51881260250002
109,743.0,589,False,,,73.40345024625,2.18,5872.2760197,146.0,Calculado,Mapeado,75.58345024625001,0.0,0.0,0.32,0.0,0.0,0.0,2.62,2.18,0.175,0.146,4.8,75.58345024625001,75.58345024625001
