Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
157,988.0,728,True,145.0,151.0,12.3174941475,1.6741110225,985.3995318,133.9288818,26.34160517,Public Transport,12.35,0.0,4.33,6.87,1.15,0.458,0.077,17.0,3.284,2.749,0.0
158,441.0,729,True,978.0,1446.0,33.59047823625,5.18588491375,2687.2382589,414.8707931,102.55969648333333,Public Transport,63.78,0.0,23.22,36.07,4.5,2.405,0.3,15.0,17.921,15.216,0.0
159,89.0,507,True,1765.0,81.0,1.66877621,7.47155022875,133.5020968,597.7240183,46.12365977208332,Public Transport,36.98,1.0,28.1,1.8,7.08,0.121,0.473,4.0,21.85,21.257,0.28
160,311.0,737,True,1613.0,40.0,4.695260245,19.18167633875,375.6208196,1534.5341071,51.06026991708333,Public Transport,27.18,0.0,14.58,4.23,8.37,0.282,0.558,14.0,12.205,11.366,0.0
161,37.0,726,True,1329.0,197.0,2.1405708275,1.7622562262500001,171.2456662,140.9804981,49.90282705375,Public Transport,47.03,0.0,43.97,1.48,1.58,0.099,0.105,5.0,17.139,16.935,0.0
162,15615.0,729,True,1420.0,1446.0,2.4948969174999998,5.18588491375,199.5917534,414.8707931,15.014115164583332,Public Transport,7.33,0.0,0.05,2.78,4.5,0.185,0.3,16.0,0.534,0.048,0.0
163,33.0,716,True,1395.0,1078.0,17.18499881625,0.9184603362500001,1374.7999053,73.4768269,33.72012581916667,Public Transport,15.62,0.0,2.13,12.55,0.93,0.837,0.062,65.0,2.502,1.603,0.0
164,64.0,716,True,331603.0,1078.0,20.43127811875,0.9184603362500001,1634.5022495,73.4768269,41.23307178833333,Public Transport,19.88,0.0,12.1,6.85,0.93,0.456,0.062,41.0,7.741,7.222,0.0
165,324.0,718,True,320.0,284.0,49.26151353,,3940.9210824,,,Public Transport,47.33,0.0,3.43,41.37,2.53,2.758,0.169,154.0,4.84,1.914,0.0
166,2512.0,713,False,,,1.7166666666666666,0.0,,0.0,1.7166666666666666,Walking Only,1.72,0.0,0.0,1.23,0.48,0.083,0.032,0.0,0.115,0.0,0.0
167,905.0,729,True,1491.0,1446.0,1.19569509125,5.18588491375,95.6556073,414.8707931,44.71491333833334,Public Transport,38.33,0.0,33.08,0.75,4.5,0.05,0.3,15.0,23.146,22.796,0.0
168,73.0,713,True,1163.0,1689.0,41.86090208,0.7462701862500001,3348.8721664,59.7016149,85.95717226625001,Public Transport,43.35,0.0,18.58,24.28,0.48,1.618,0.032,6.0,13.216,11.565,0.0
169,21.0,716,True,1328.0,1078.0,5.3891337,0.9184603362500001,431.130696,73.4768269,34.02426070291666,Public Transport,27.72,0.0,21.05,5.73,0.93,0.383,0.062,32.0,15.601,15.156,0.0
170,956.0,732,True,12.0,2049.0,2.7072832774999998,1.4382949875,216.5826622,115.063599,15.11224493166667,Public Transport,10.97,0.0,7.27,2.07,1.63,0.138,0.108,57.0,3.82,3.574,0.0
171,76.0,716,True,1391.0,1078.0,2.0090536749999997,0.9184603362500001,160.724294,73.4768269,14.87751401125,Public Transport,11.95,0.0,8.77,2.25,0.93,0.15,0.062,64.0,5.269,5.057,0.0
172,74.0,731,True,1012.0,977.0,31.202098569999997,6.267915390000001,2496.1678856,501.4332312,72.38668062666666,Public Transport,34.92,0.0,13.12,16.77,5.03,1.118,0.335,16.0,12.19,10.737,0.0
173,244.0,727,True,326934.0,2280.0,8.23088518875,1.67989424,658.4708151,134.3915392,26.194112762083332,Public Transport,16.28,0.0,6.62,8.38,1.28,0.558,0.086,33.0,6.744,6.1,0.0
174,66.0,713,True,1059.0,1274.0,55.903456543749996,2.98574116875,4472.2765235,238.8592935,129.9391977125,Public Transport,71.05,0.0,11.25,56.17,3.63,3.744,0.243,8.0,11.665,7.678,0.0
175,25.0,731,True,1107.0,1108.0,8.79544210625,5.1048154875,703.6353685,408.385239,30.383590927083333,Public Transport,16.48,0.0,2.37,8.78,5.33,0.586,0.355,32.0,2.701,1.76,0.0
176,183.0,516,True,603.0,420.0,1.50297734875,,120.2381879,,,Public Transport,7.82,0.0,2.65,2.43,2.73,0.162,0.183,15.0,1.976,1.631,0.0
177,4142.0,517,True,623.0,587.0,2.0096592099999997,0.92716684375,160.7727368,74.1733475,10.553492720416665,Public Transport,7.62,0.0,5.62,1.42,0.58,0.095,0.039,103.0,3.448,3.314,0.0
178,20.0,726,True,1554.0,184.0,33.52774266875,1.93204646625,2682.2194135,154.5637173,131.409789135,Public Transport,96.92,0.0,62.77,32.57,1.58,2.172,0.105,4.0,34.844,32.567,0.0
179,268.0,737,True,2091.0,2097.0,4.595080433750001,6.648139412499999,367.6064347,531.851153,26.05988651291667,Public Transport,14.82,0.0,8.18,4.17,2.47,0.278,0.164,64.0,4.669,4.228,0.0
180,135.0,727,True,1427.0,1375.0,44.99496990125,1.6399802562499999,3599.5975921,131.1984205,92.61828349083333,Public Transport,45.98,0.0,3.42,41.28,1.28,2.752,0.086,85.0,4.849,2.011,0.0
181,798.0,716,True,448.0,1078.0,2.66024584,0.9184603362500001,212.8196672,73.4768269,26.31203950958333,Public Transport,22.73,1.0,19.57,2.23,0.93,0.149,0.062,3.0,11.985,11.774,0.52
182,467.0,716,True,1530.0,1078.0,1.1986116175,0.9184603362500001,95.8889294,73.4768269,21.750405287083332,Public Transport,19.63,0.0,17.62,1.08,0.93,0.072,0.062,40.0,11.502,11.368,0.0
183,37.0,713,True,1043.0,1274.0,1.25764210625,2.98574116875,100.6113685,238.8592935,51.92671660833334,Public Transport,47.68,0.0,43.37,0.68,3.63,0.045,0.243,16.0,28.672,28.384,0.0
184,32.0,739,False,,,21.133333333333333,0.0,,0.0,21.133333333333333,Walking Only,21.13,0.0,0.0,18.97,2.17,1.265,0.144,0.0,1.409,0.0,0.0
185,33.0,727,True,1484.0,1375.0,19.31415830375,1.6399802562499999,1545.1326643,131.1984205,58.920805226666666,Public Transport,37.97,0.0,16.9,19.78,1.28,1.319,0.086,33.0,12.096,10.692,0.0
186,27.0,729,True,1511.0,1446.0,25.65431426125,5.18588491375,2052.3451409,414.8707931,63.30686584166667,Public Transport,32.47,0.0,10.25,17.72,4.5,1.181,0.3,15.0,8.107,6.626,0.0
187,12756.0,713,True,97207.0,1689.0,4.9578120275,0.7462701862500001,396.6249622,59.7016149,9.90408221375,Public Transport,4.2,0.0,0.98,2.73,0.48,0.182,0.032,23.0,1.0,0.786,0.0
188,25.0,713,True,1262.0,1274.0,5.876431462499999,2.98574116875,470.114517,238.8592935,39.09550596458333,Public Transport,30.23,0.0,20.5,6.1,3.63,0.407,0.243,8.0,13.582,12.932,0.0
189,953.0,719,True,1139.0,1096.0,4.40607531625,6.3014092375,352.4860253,504.112739,51.80748455375,Public Transport,41.1,1.0,32.28,3.55,5.27,0.237,0.351,16.0,21.182,20.594,0.33
190,387.0,738,True,1593.0,2219.0,19.62031106625,0.79330144375,1569.6248853,63.4641155,48.58027917666667,Public Transport,28.17,0.0,7.57,19.67,0.93,1.311,0.062,26.0,4.114,2.74,0.0
191,230.0,719,True,1142.0,1096.0,2.26494488875,6.3014092375,181.1955911,504.112739,45.099687459583336,Public Transport,36.53,1.0,28.85,2.42,5.27,0.161,0.351,16.0,19.332,18.82,0.33
192,27.0,727,True,21786.0,2280.0,41.72898679,1.67989424,3338.3189432,134.3915392,66.99221436333333,Public Transport,23.58,0.0,2.38,19.92,1.28,1.328,0.086,33.0,2.787,1.373,0.0
193,22.0,509,True,2182.0,354.0,42.45288533375,,3396.2308267,,,Public Transport,88.08,3.0,69.7,15.4,2.98,1.027,0.199,2.0,44.523,43.297,7.78
194,23.0,505,True,733.0,251.0,37.8177963525,3.48591390375,3025.4237082,278.8731123,127.57037692291667,Public Transport,86.27,2.0,53.55,29.22,3.5,1.948,0.233,7.0,39.491,37.31,0.53
195,50.0,731,True,1013.0,977.0,20.35921589625,6.267915390000001,1628.7372717,501.4332312,55.610464619583325,Public Transport,28.98,0.0,9.73,14.22,5.03,0.948,0.335,54.0,8.912,7.629,0.0
196,1819.0,505,True,642.0,251.0,0.9359457474999999,3.48591390375,74.8756598,278.8731123,30.571859651249998,Public Transport,26.4,1.0,22.05,0.85,3.5,0.057,0.233,38.0,18.82,18.53,0.02
197,53.0,737,True,114254.0,40.0,8.82486123125,19.18167633875,705.9888985,1534.5341071,51.02320423666667,Public Transport,23.02,0.0,7.92,6.73,8.37,0.448,0.558,30.0,6.059,5.053,0.0
198,140.0,726,True,179.0,197.0,11.315618041250001,1.7622562262500001,905.2494433,140.9804981,31.6278742675,Public Transport,18.55,0.0,7.28,9.68,1.58,0.646,0.105,57.0,4.922,4.171,0.0
199,23.0,726,True,178.0,197.0,38.87941376625,1.7622562262500001,3110.3531013,140.9804981,74.85833665916667,Public Transport,34.22,0.0,7.85,24.78,1.58,1.653,0.105,58.0,6.259,4.501,0.0
200,10.0,505,True,789.0,251.0,13.29774508125,3.48591390375,1063.8196065,278.8731123,100.71699231833334,Public Transport,83.93,2.0,66.37,14.07,3.5,0.937,0.233,7.0,48.45,47.279,0.53
201,129.0,505,True,681.0,251.0,0.7162177075,3.48591390375,57.2974166,278.8731123,48.26879827791667,Public Transport,44.07,1.0,39.33,1.23,3.5,0.083,0.233,31.0,26.863,26.547,0.6
202,465.0,716,True,1328.0,1078.0,1.16629125375,0.9184603362500001,93.3033003,73.4768269,25.301418256666665,Public Transport,23.22,0.0,21.05,1.23,0.93,0.083,0.062,31.0,15.301,15.156,0.0
203,41.0,716,True,1935.0,1078.0,7.10084609,0.9184603362500001,568.0676872,73.4768269,40.45263975958333,Public Transport,32.43,0.0,27.18,4.32,0.93,0.288,0.062,31.0,19.957,19.606,0.0
204,183.0,716,True,1394.0,1078.0,7.2359334,0.9184603362500001,578.874672,73.4768269,21.50439373625,Public Transport,13.35,0.0,4.12,8.3,0.93,0.553,0.062,65.0,3.148,2.532,0.0
205,107.0,726,True,1554.0,184.0,5.08054823375,1.93204646625,406.4438587,154.5637173,73.54592803333333,Public Transport,67.5,0.0,62.77,3.15,1.58,0.21,0.105,4.0,32.882,32.567,0.0
206,30.0,731,True,1013.0,977.0,40.10720867625,6.267915390000001,3208.5766941,501.4332312,91.60845739958333,Public Transport,45.23,0.0,9.73,30.47,5.03,2.031,0.335,54.0,9.995,7.629,0.0
207,18.0,713,True,1253.0,1274.0,80.73535735,2.98574116875,6458.828588,238.8592935,189.50443185208331,Public Transport,105.78,0.0,35.65,66.5,3.63,4.433,0.243,8.0,27.939,23.263,0.0
